2017-01,ST,2937,11884
2017-02,ST,2042,9301
2017-03,ST,2837,12144
2017-04,ST,3284,9021
2017-05,ST,2327,14162
2017-06,ST,2242,11494
2017-07,ST,2094,7723
2017-08,ST,2154,4895
2017-09,ST,1970,10847
2017-10,ST,2069,13281
2017-11,ST,1959,11304
2017-12,ST,2258,10906
2018-01,ST,1884,10113
2018-02,ST,1732,7460
2018-03,ST,2144,10045
2018-04,ST,2039,9657
2018-05,ST,2169,13032
2018-06,ST,2092,9658
2018-07,ST,2051,8081
2018-08,ST,2397,4943
2018-09,ST,2425,10024
2018-10,ST,2712,14506
2018-11,ST,2558,12014
2018-12,ST,2904,12280
