"LocationID","Borough",Bronx,"service_zone"
1,"EWR",Park Slope,"EWR"
2,"Queens",Jamaica,"Boro Zone"
3,"Bronx",Pelham Gardens,"Boro Zone"
4,"Manhattan",Co-op City,"Yellow Zone"
5,"Staten Island",Crown Heights,"Boro Zone"
6,"Staten Island",Crotona Park East,"Boro Zone"
7,"Queens",Astoria,"Boro Zone"
8,"Queens",Astoria,"Boro Zone"
9,"Queens",Auburndale,"Boro Zone"
10,"Queens",Marine Park,"Boro Zone"
11,"Brooklyn",Bath Beach,"Boro Zone"
12,"Manhattan",Battery Park City,"Yellow Zone"
13,"Manhattan",Battery Park City,"Yellow Zone"
14,"Brooklyn",Bay Ridge,"Boro Zone"
15,"Queens",Battery Park City,"Boro Zone"
16,"Queens",Bayside,"Boro Zone"
17,"Brooklyn",Bedford Park,"Boro Zone"
18,"Bronx",Bedford Park,"Boro Zone"
19,"Queens",Bellerose,"Boro Zone"
20,"Bronx",Belmont,"Boro Zone"
21,"Brooklyn",Bensonhurst,"Boro Zone"
22,"Brooklyn",Bensonhurst,"Boro Zone"
23,"Staten Island",Boerum Hill,"Boro Zone"
24,"Manhattan",Glendale,"Yellow Zone"
25,"Brooklyn",Boerum Hill,"Boro Zone"
26,"Brooklyn",Borough Park,"Boro Zone"
27,"Queens",Bergen Beach,"Boro Zone"
28,"Queens",Briarwood,"Boro Zone"
29,"Brooklyn",Brighton Beach,"Boro Zone"
30,"Queens",Woodhaven,"Boro Zone"
31,"Bronx",Bronx,"Boro Zone"
32,"Bronx",Bronx,"Boro Zone"
33,"Brooklyn",Brooklyn,"Boro Zone"
34,"Brooklyn",Brooklyn,"Boro Zone"
35,"Brooklyn",Brownsville,"Boro Zone"
36,"Brooklyn",Bushwick,"Boro Zone"
37,"Brooklyn",Bushwick,"Boro Zone"
38,"Queens",Cambria Heights,"Boro Zone"
39,"Brooklyn",Canarsie,"Boro Zone"
40,"Brooklyn",Carroll Gardens,"Boro Zone"
41,"Manhattan",Central Harlem,"Boro Zone"
42,"Manhattan",Central Harlem,"Boro Zone"
43,"Manhattan",Central Park South,"Yellow Zone"
44,"Staten Island",Brookville,"Boro Zone"
45,"Manhattan",Chinatown,"Yellow Zone"
46,"Bronx",City Island,"Boro Zone"
47,"Bronx",areaName,"Boro Zone"
48,"Manhattan",Clinton Hill,"Yellow Zone"
49,"Brooklyn",Clinton Hill,"Boro Zone"
