+----------+----------------+-------------------+
| count(*) | dropoff_decile | avg(dropoff_rent) |
+----------+----------------+-------------------+
| 752703   | 4              | 3000              |
| 511703   | 7              | 3850              |
| 632218   | 1              | 2200              |
| 6823014  | 5              | 3297.055323497797 |
| 11999616 | 2              | 2684.235571038273 |
| 551936   | 9              | 7739.994865346707 |
| 11253627 | 8              | 4357.930860246212 |
| 5265657  | 0              | 1852.35560956591  |
| 8174018  | 6              | 3651.020414807014 |
| 23956    | 3              | 2998.721906829187 |
+----------+----------------+-------------------+
+----------+---------------+-------------------+
| count(*) | pickup_decile | avg(pickup_rent)  |
+----------+---------------+-------------------+
| 722969   | 4             | 3500              |
| 272541   | 7             | 3978              |
| 414415   | 1             | 2200              |
| 10152228 | 5             | 3747.883783441428 |
| 16653088 | 2             | 2903.761124903681 |
| 114554   | 9             | 8442.145870070011 |
| 8353309  | 8             | 4816.712318076585 |
| 4079432  | 0             | 1820.98610566373  |
| 1930757  | 6             | 3946.930271908894 |
| 3295155  | 3             | 3436.834572273535 |
+----------+---------------+-------------------+
+--------------------+-------------------+---------------+
| count(tip_percent) | avg(pickup_rent)  | pickup_decile |
+--------------------+-------------------+---------------+
| 2310421            | 3500              | 4             |
| 744927             | 3978              | 7             |
| 1016178            | 2200              | 1             |
| 28596521           | 3751.204284010632 | 5             |
| 44554978           | 2931.665872037912 | 2             |
| 324442             | 8446.460230179817 | 9             |
| 23998713           | 4787.876175401572 | 8             |
| 13176179           | 1803.33295692173  | 0             |
| 5755157            | 3946.713973745634 | 6             |
| 9377841            | 3436.588275382362 | 3             |
+--------------------+-------------------+---------------+
+--------------------+-------------------+----------------+
| count(tip_percent) | avg(dropoff_rent) | dropoff_decile |
+--------------------+-------------------+----------------+
| 2436182            | 3000              | 4              |
| 1508204            | 3850              | 7              |
| 1583264            | 2200              | 1              |
| 20325692           | 3294.735404334573 | 5              |
| 32434713           | 2705.700518114651 | 2              |
| 1514138            | 7749.380595427893 | 9              |
| 32608359           | 4353.284507447922 | 8              |
| 14263084           | 1839.62163687741  | 0              |
| 23095134           | 3649.36036049845  | 6              |
| 86587              | 2998.731726471641 | 3              |
+--------------------+-------------------+----------------+
+-------------------+-------------------+---------------+
| sum(tip_percent)  | avg(pickup_rent)  | pickup_decile |
+-------------------+-------------------+---------------+
| 349848.112998657  | 3500              | 4             |
| 105302.7403117409 | 3978              | 7             |
| 133038.7223783929 | 2200              | 1             |
| 4099927.011437968 | 3751.204284010632 | 5             |
| 6150278.049232988 | 2931.665872037912 | 2             |
| 45539.07678531572 | 8446.460230179817 | 9             |
| 3406552.816561149 | 4787.876175401572 | 8             |
| 2024588.677966254 | 1803.33295692173  | 0             |
| 849061.9951511483 | 3946.713973745634 | 6             |
| 1352206.495979744 | 3436.588275382362 | 3             |
+-------------------+-------------------+---------------+
+-------------------+-------------------+----------------+
| sum(tip_percent)  | avg(dropoff_rent) | dropoff_decile |
+-------------------+-------------------+----------------+
| 366800.6502702995 | 3000              | 4              |
| 223059.535067261  | 3850              | 7              |
| 207643.9834193681 | 2200              | 1              |
| 3007181.22656503  | 3294.735404334573 | 5              |
| 4473268.562801609 | 2705.700518114651 | 2              |
| 211913.5169208637 | 7749.380595427893 | 9              |
| 4712798.198870602 | 4353.284507447922 | 8              |
| 1969650.503765226 | 1839.62163687741  | 0              |
| 3330755.285781372 | 3649.36036049845  | 6              |
| 13272.23534172696 | 2998.731726471641 | 3              |
+-------------------+-------------------+----------------+
